"Station Name","MONTREAL/ST-HUBERT"
"Province","QUEBEC"
"Latitude","45.52"
"Longitude","-73.42"
"Elevation","27.40"
"Climate Identifier","7027329"
"WMO Identifier","71371"
"TC Identifier","YHU"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Time","Data Quality","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2015-09-01 00:00","2015","09","01","00:00","‡","15.5","","15.5","","100","","1","","4","","2.8","","101.24","","","","","","Fog"
"2015-09-01 01:00","2015","09","01","01:00","‡","14.9","","","M","","M","","M","4","","0.8","","101.25","","","","","","Fog"
"2015-09-01 02:00","2015","09","01","02:00","‡","13.5","","13.5","","100","","36","","9","","16.1","","101.30","","","","","","NA"
"2015-09-01 03:00","2015","09","01","03:00","‡","13.7","","13.7","","100","","","","0","","16.1","","101.34","","","","","","NA"
"2015-09-01 04:00","2015","09","01","04:00","‡","12.8","","12.8","","100","","2","","8","","16.1","","101.38","","","","","","NA"
"2015-09-01 05:00","2015","09","01","05:00","‡","13.4","","13.4","","100","","","","0","","16.1","","101.40","","","","","","NA"
"2015-09-01 06:00","2015","09","01","06:00","‡","13.4","","13.4","","100","","","","0","","16.1","","101.47","","","","","","NA"
"2015-09-01 07:00","2015","09","01","07:00","‡","16.0","","15.5","","97","","","","0","","16.1","","101.51","","","","","","NA"
"2015-09-01 08:00","2015","09","01","08:00","‡","19.2","","14.2","","73","","10","","5","","16.1","","101.49","","","","","","NA"
"2015-09-01 09:00","2015","09","01","09:00","‡","21.3","","14.9","","66","","17","","9","","16.1","","101.49","","25","","","","NA"
"2015-09-01 10:00","2015","09","01","10:00","‡","22.7","","14.8","","61","","19","","8","","16.1","","101.48","","27","","","","NA"
"2015-09-01 11:00","2015","09","01","11:00","‡","23.6","","14.0","","54","","25","","5","","16.1","","101.41","","27","","","","NA"
"2015-09-01 12:00","2015","09","01","12:00","‡","25.1","","15.8","","56","","21","","8","","8.1","","101.36","","30","","","","Haze"
"2015-09-01 13:00","2015","09","01","13:00","‡","26.3","","17.0","","56","","19","","21","","16.1","","101.30","","32","","","","NA"
"2015-09-01 14:00","2015","09","01","14:00","‡","26.5","","16.8","","55","","21","","15","","16.1","","101.26","","32","","","","NA"
"2015-09-01 15:00","2015","09","01","15:00","‡","27.1","","17.5","","55","","24","","18","","16.1","","101.19","","33","","","","NA"
"2015-09-01 16:00","2015","09","01","16:00","‡","27.0","","17.9","","57","","24","","15","","16.1","","101.17","","33","","","","NA"
"2015-09-01 17:00","2015","09","01","17:00","‡","26.5","","18.4","","61","","24","","21","","16.1","","101.17","","33","","","","NA"
"2015-09-01 18:00","2015","09","01","18:00","‡","25.6","","18.1","","63","","22","","17","","16.1","","101.17","","32","","","","NA"
"2015-09-01 19:00","2015","09","01","19:00","‡","23.1","","19.3","","79","","17","","9","","2.4","","101.19","","30","","","","Haze"
"2015-09-01 20:00","2015","09","01","20:00","‡","22.3","","19.3","","83","","18","","11","","16.1","","101.20","","29","","","","NA"
"2015-09-01 21:00","2015","09","01","21:00","‡","22.2","","19.1","","82","","20","","13","","16.1","","101.18","","29","","","","NA"
"2015-09-01 22:00","2015","09","01","22:00","‡","22.5","","19.5","","83","","23","","17","","16.1","","101.16","","30","","","","NA"
"2015-09-01 23:00","2015","09","01","23:00","‡","21.7","","20.0","","90","","23","","13","","16.1","","101.19","","29","","","","NA"
"2015-09-02 00:00","2015","09","02","00:00","‡","21.5","","20.3","","93","","23","","15","","16.1","","101.19","","29","","","","NA"
"2015-09-02 01:00","2015","09","02","01:00","‡","21.2","","20.3","","94","","24","","15","","16.1","","101.19","","29","","","","NA"
"2015-09-02 02:00","2015","09","02","02:00","‡","21.1","","20.4","","96","","24","","21","","12.9","","101.17","","29","","","","NA"
"2015-09-02 03:00","2015","09","02","03:00","‡","20.6","","20.3","","98","","22","","11","","11.3","","101.14","","28","","","","NA"
"2015-09-02 04:00","2015","09","02","04:00","‡","20.2","","20.0","","99","","22","","9","","9.7","","101.15","","28","","","","Fog"
"2015-09-02 05:00","2015","09","02","05:00","‡","20.8","","20.5","","98","","23","","13","","9.7","","101.13","","29","","","","Fog"
"2015-09-02 06:00","2015","09","02","06:00","‡","20.8","","20.5","","98","","27","","18","","9.7","","101.16","","29","","","","Fog"
"2015-09-02 07:00","2015","09","02","07:00","‡","20.8","","20.6","","99","","25","","13","","8.1","","101.14","","29","","","","Fog"
"2015-09-02 08:00","2015","09","02","08:00","‡","20.7","","20.5","","99","","26","","15","","8.1","","101.14","","29","","","","Fog"
"2015-09-02 09:00","2015","09","02","09:00","‡","20.7","","20.4","","98","","23","","21","","9.7","","101.13","","29","","","","Fog"
"2015-09-02 10:00","2015","09","02","10:00","‡","21.4","","20.6","","95","","23","","22","","9.7","","101.14","","29","","","","Fog"
"2015-09-02 11:00","2015","09","02","11:00","‡","23.0","","19.7","","81","","25","","21","","11.3","","101.12","","30","","","","NA"
"2015-09-02 12:00","2015","09","02","12:00","‡","23.9","","19.9","","78","","23","","22","","14.5","","101.08","","31","","","","NA"
"2015-09-02 13:00","2015","09","02","13:00","‡","25.3","","20.2","","73","","23","","22","","16.1","","101.02","","33","","","","NA"
"2015-09-02 14:00","2015","09","02","14:00","‡","26.1","","20.3","","70","","23","","22","","16.1","","100.95","","34","","","","NA"
"2015-09-02 15:00","2015","09","02","15:00","‡","25.9","","20.0","","69","","22","","26","","16.1","","100.89","","33","","","","NA"
"2015-09-02 16:00","2015","09","02","16:00","‡","25.8","","20.2","","71","","24","","21","","16.1","","100.86","","34","","","","NA"
"2015-09-02 17:00","2015","09","02","17:00","‡","25.2","","20.3","","74","","24","","24","","16.1","","100.82","","33","","","","NA"
"2015-09-02 18:00","2015","09","02","18:00","‡","24.5","","20.3","","77","","26","","18","","16.1","","100.85","","32","","","","NA"
"2015-09-02 19:00","2015","09","02","19:00","‡","24.0","","20.4","","80","","24","","17","","16.1","","100.79","","32","","","","NA"
"2015-09-02 20:00","2015","09","02","20:00","‡","23.8","","20.4","","81","","26","","11","","16.1","","100.79","","32","","","","NA"
"2015-09-02 21:00","2015","09","02","21:00","‡","23.2","","20.4","","84","","25","","11","","16.1","","100.82","","31","","","","NA"
"2015-09-02 22:00","2015","09","02","22:00","‡","23.0","","20.4","","85","","25","","8","","16.1","","100.81","","31","","","","NA"
"2015-09-02 23:00","2015","09","02","23:00","‡","22.8","","21.0","","89","","25","","9","","16.1","","100.80","","31","","","","NA"
"2015-09-03 00:00","2015","09","03","00:00","‡","22.5","","22.0","","97","","25","","11","","11.3","","100.79","","32","","","","NA"
"2015-09-03 01:00","2015","09","03","01:00","‡","22.3","","22.0","","98","","25","","11","","8.1","","100.77","","32","","","","Fog"
"2015-09-03 02:00","2015","09","03","02:00","‡","21.9","","21.7","","99","","23","","11","","8.1","","100.75","","31","","","","Fog"
"2015-09-03 03:00","2015","09","03","03:00","‡","21.9","","21.9","","100","","25","","5","","6.4","","100.74","","31","","","","Fog"
"2015-09-03 04:00","2015","09","03","04:00","‡","21.5","","21.5","","100","","27","","5","","4.8","","100.74","","30","","","","Fog"
"2015-09-03 05:00","2015","09","03","05:00","‡","20.9","","20.9","","100","","30","","5","","6.4","","100.79","","29","","","","Fog"
"2015-09-03 06:00","2015","09","03","06:00","‡","20.9","","20.9","","100","","34","","9","","6.4","","100.88","","29","","","","Fog"
"2015-09-03 07:00","2015","09","03","07:00","‡","21.9","","20.9","","94","","36","","17","","14.5","","100.94","","30","","","","NA"
"2015-09-03 08:00","2015","09","03","08:00","‡","22.4","","18.3","","77","","3","","24","","16.1","","100.97","","29","","","","NA"
"2015-09-03 09:00","2015","09","03","09:00","‡","23.6","","17.6","","69","","3","","24","","16.1","","101.02","","29","","","","NA"
"2015-09-03 10:00","2015","09","03","10:00","‡","24.3","","16.0","","59","","5","","22","","16.1","","101.05","","29","","","","NA"
"2015-09-03 11:00","2015","09","03","11:00","‡","25.4","","15.4","","53","","7","","22","","16.1","","101.05","","30","","","","NA"
"2015-09-03 12:00","2015","09","03","12:00","‡","25.2","","16.2","","57","","6","","15","","16.1","","101.05","","30","","","","NA"
"2015-09-03 13:00","2015","09","03","13:00","‡","26.0","","17.2","","58","","5","","9","","16.1","","101.03","","31","","","","NA"
"2015-09-03 14:00","2015","09","03","14:00","‡","26.9","","16.6","","53","","1","","15","","16.1","","101.00","","32","","","","NA"
"2015-09-03 15:00","2015","09","03","15:00","‡","26.7","","15.9","","51","","4","","18","","16.1","","100.99","","31","","","","NA"
"2015-09-03 16:00","2015","09","03","16:00","‡","26.3","","15.4","","51","","5","","15","","16.1","","101.01","","31","","","","NA"
"2015-09-03 17:00","2015","09","03","17:00","‡","25.3","","10.9","","40","","7","","17","","16.1","","101.05","","27","","","","NA"
"2015-09-03 18:00","2015","09","03","18:00","‡","22.9","","10.3","","45","","6","","11","","16.1","","101.09","","","","","","NA"
"2015-09-03 19:00","2015","09","03","19:00","‡","18.1","","11.1","","63","","3","","9","","16.1","","101.14","","","","","","NA"
